,Dataset,Seed,Explainer,TP,TN,FP,FN,Torch Accuracy,Torch Recall,Torch Precision,Faithfulness,Accuracy,Precision,Recall
0,25,95914,GNN,2,118,0,135,0.800000011920929,0.0625,1.0,1.0,0.47058823529411764,1.0,0.014598540145985401
1,25,421,GNN,2,118,0,135,0.800000011920929,0.0625,1.0,1.0,0.47058823529411764,1.0,0.014598540145985401
2,25,68998,GNN,2,118,0,135,0.800000011920929,0.0625,1.0,1.0,0.47058823529411764,1.0,0.014598540145985401
3,25,70456,GNN,2,118,0,135,0.800000011920929,0.0625,1.0,1.0,0.47058823529411764,1.0,0.014598540145985401
4,25,91244,GNN,2,118,0,135,0.800000011920929,0.0625,1.0,1.0,0.47058823529411764,1.0,0.014598540145985401
5,25,31475,GNN,2,118,0,135,0.800000011920929,0.0625,1.0,1.0,0.47058823529411764,1.0,0.014598540145985401
6,25,22750,GNN,1,118,0,136,0.7933333516120911,0.03125,1.0,1.0,0.4666666666666667,1.0,0.0072992700729927005
7,25,59061,GNN,2,118,0,135,0.800000011920929,0.0625,1.0,1.0,0.47058823529411764,1.0,0.014598540145985401
8,25,25478,GNN,2,118,0,135,0.800000011920929,0.0625,1.0,1.0,0.47058823529411764,1.0,0.014598540145985401
9,25,67248,GNN,2,118,0,135,0.800000011920929,0.0625,1.0,1.0,0.47058823529411764,1.0,0.014598540145985401
