,P1,P2,Prob
0,tensor(7335),tensor(7336),tensor(0.5125)
1,tensor(7335),tensor(7337),tensor(0.5312)
2,tensor(7336),tensor(7335),tensor(0.5568)
3,tensor(7336),tensor(7339),tensor(0.5815)
4,tensor(7337),tensor(7335),tensor(0.5135)
5,tensor(7337),tensor(7339),tensor(0.5260)
6,tensor(7337),tensor(7340),tensor(0.4777)
7,tensor(7337),tensor(7341),tensor(0.5031)
8,tensor(7339),tensor(7336),tensor(0.5949)
9,tensor(7339),tensor(7337),tensor(0.6182)
10,tensor(7339),tensor(7340),tensor(0.5863)
11,tensor(7339),tensor(7342),tensor(0.5556)
12,tensor(7340),tensor(7337),tensor(0.5313)
13,tensor(7340),tensor(7339),tensor(0.5284)
14,tensor(7340),tensor(7343),tensor(0.6842)
15,tensor(7341),tensor(7337),tensor(0.6077)
16,tensor(7342),tensor(7339),tensor(0.5869)
17,tensor(7343),tensor(7340),tensor(0.5390)
