,seed,P1,P2,Prob
0,39978,7,18,0.38700625
1,39978,9,12,0.57655275
2,39978,9,14,0.5778463
3,39978,9,17,0.5452253
4,39978,9,18,0.48902264
5,39978,9,23,0.82084656
6,39978,9,32,0.50094646
7,39978,9,40,0.63460803
8,39978,9,51,0.56080747
9,39978,9,54,0.52997226
10,39978,9,61,0.7252071
11,39978,9,62,0.56992835
12,39978,9,69,0.63506186
13,39978,9,71,0.5911787
14,39978,9,97,0.58840686
15,39978,12,9,0.40141296
16,39978,14,9,0.41779736
17,39978,17,9,0.43096387
18,39978,17,54,0.44413954
19,39978,18,7,0.51760715
20,39978,18,9,0.4448501
21,39978,18,19,0.5117431
22,39978,18,20,0.52244365
23,39978,18,22,0.4608295
24,39978,18,24,0.43099228
25,39978,18,25,0.43862998
26,39978,18,26,0.4341411
27,39978,18,30,0.44852787
28,39978,18,31,0.4422905
29,39978,18,32,0.43339896
30,39978,18,33,0.42949414
31,39978,18,39,0.4567793
32,39978,18,42,0.42915
33,39978,18,46,0.45188856
34,39978,18,50,0.45737985
35,39978,18,53,0.51568776
36,39978,18,60,0.45655477
37,39978,18,74,0.42868882
38,39978,18,76,0.47630733
39,39978,18,98,0.43208477
40,39978,19,18,0.4096293
41,39978,20,18,0.38901407
42,39978,22,18,0.42897084
43,39978,22,32,0.44456205
44,39978,22,33,0.44105166
45,39978,23,9,0.42910728
46,39978,24,18,0.42149106
47,39978,24,25,0.44936666
48,39978,24,26,0.43306783
49,39978,24,30,0.45937037
50,39978,24,31,0.44840768
51,39978,24,32,0.43777183
52,39978,24,33,0.44663355
53,39978,24,74,0.44829032
54,39978,24,98,0.43927178
55,39978,25,18,0.44516787
56,39978,25,24,0.45302933
57,39978,25,26,0.45218915
58,39978,25,32,0.4484048
59,39978,25,42,0.45933262
60,39978,25,60,0.47257984
61,39978,26,18,0.42885128
62,39978,26,24,0.43388563
63,39978,26,25,0.4478896
64,39978,26,31,0.44709712
65,39978,26,32,0.4437994
66,39978,26,33,0.44152325
67,39978,26,39,0.4660375
68,39978,26,42,0.44404712
69,39978,26,74,0.4415101
70,39978,26,76,0.4834799
71,39978,26,98,0.4404674
72,39978,30,18,0.4332108
73,39978,30,24,0.44444293
74,39978,30,33,0.44485724
75,39978,31,18,0.44179243
76,39978,31,24,0.44799072
77,39978,31,26,0.45382646
78,39978,31,32,0.4527701
79,39978,31,33,0.4529541
80,39978,31,42,0.4555443
81,39978,31,50,0.46917456
82,39978,31,74,0.45517144
83,39978,31,98,0.45518345
84,39978,32,9,0.45683408
85,39978,32,18,0.43580234
86,39978,32,22,0.46606195
87,39978,32,24,0.43644872
88,39978,32,25,0.44890103
89,39978,32,26,0.442647
90,39978,32,31,0.44853434
91,39978,32,33,0.44116542
92,39978,32,46,0.46050268
93,39978,32,98,0.43561217
94,39978,33,18,0.438629
95,39978,33,22,0.48310587
96,39978,33,24,0.45012817
97,39978,33,26,0.4513568
98,39978,33,30,0.4687737
99,39978,33,31,0.45904005
100,39978,33,32,0.45437515
101,39978,33,42,0.45367154
102,39978,33,74,0.45692626
103,39978,33,98,0.45052084
104,39978,39,18,0.4265881
105,39978,39,26,0.44151363
106,39978,39,42,0.44479546
107,39978,40,9,0.41324145
108,39978,42,18,0.42762265
109,39978,42,25,0.446875
110,39978,42,26,0.43392533
111,39978,42,31,0.44983622
112,39978,42,33,0.44346073
113,39978,42,39,0.4646341
114,39978,46,18,0.43201756
115,39978,46,32,0.44506714
116,39978,46,50,0.46276823
117,39978,46,98,0.4375002
118,39978,50,18,0.42404267
119,39978,50,31,0.44317025
120,39978,50,46,0.45088267
121,39978,51,9,0.41418487
122,39978,53,18,0.4008893
123,39978,54,9,0.4333412
124,39978,54,17,0.45424247
125,39978,60,18,0.42705992
126,39978,60,25,0.4470308
127,39978,60,98,0.44318673
128,39978,61,9,0.41204414
129,39978,62,9,0.41334024
130,39978,69,9,0.42996606
131,39978,71,9,0.4190316
132,39978,74,18,0.42860293
133,39978,74,24,0.44359267
134,39978,74,26,0.44242764
135,39978,74,31,0.45966035
136,39978,74,33,0.44396538
137,39978,74,98,0.44674015
138,39978,76,18,0.42269737
139,39978,76,26,0.42215377
140,39978,97,9,0.41839162
141,39978,98,18,0.4334146
142,39978,98,24,0.4368341
143,39978,98,26,0.43842828
144,39978,98,31,0.44974828
145,39978,98,32,0.4449019
146,39978,98,33,0.4413203
147,39978,98,46,0.46617484
148,39978,98,60,0.4724915
149,39978,98,74,0.43795526
