,P1,P2,Prob
0,tensor(417),tensor(10063),tensor(0.4848)
1,tensor(6314),tensor(10064),tensor(0.4535)
2,tensor(10060),tensor(10061),tensor(0.5134)
3,tensor(10060),tensor(10062),tensor(0.5879)
4,tensor(10061),tensor(10060),tensor(0.5293)
5,tensor(10061),tensor(10063),tensor(0.5396)
6,tensor(10061),tensor(10064),tensor(0.4855)
7,tensor(10061),tensor(10065),tensor(0.6247)
8,tensor(10062),tensor(10060),tensor(0.5801)
9,tensor(10062),tensor(10063),tensor(0.5900)
10,tensor(10062),tensor(10066),tensor(0.6437)
11,tensor(10063),tensor(417),tensor(0.4807)
12,tensor(10063),tensor(10061),tensor(0.5198)
13,tensor(10063),tensor(10062),tensor(0.5992)
14,tensor(10063),tensor(10066),tensor(0.6034)
15,tensor(10063),tensor(10070),tensor(0.4871)
16,tensor(10064),tensor(6314),tensor(0.5329)
17,tensor(10064),tensor(10061),tensor(0.4855)
18,tensor(10065),tensor(10061),tensor(0.5446)
19,tensor(10066),tensor(10062),tensor(0.6009)
20,tensor(10066),tensor(10063),tensor(0.5496)
21,tensor(10070),tensor(10063),tensor(0.5595)
