,P1,P2,Prob
0,tensor(1798),tensor(4392),tensor(0.1421)
1,tensor(2025),tensor(10455),tensor(0.1768)
2,tensor(3871),tensor(5055),tensor(0.1198)
3,tensor(4392),tensor(1798),tensor(0.0999)
4,tensor(4392),tensor(4393),tensor(0.0776)
5,tensor(4392),tensor(4394),tensor(0.0957)
6,tensor(4392),tensor(4395),tensor(0.1058)
7,tensor(4392),tensor(4396),tensor(0.1410)
8,tensor(4392),tensor(5048),tensor(1.0000)
9,tensor(4392),tensor(12495),tensor(0.1348)
10,tensor(4393),tensor(4392),tensor(0.2193)
11,tensor(4394),tensor(4392),tensor(0.1660)
12,tensor(4395),tensor(4392),tensor(0.1407)
13,tensor(4396),tensor(4392),tensor(0.1742)
14,tensor(5046),tensor(5047),tensor(0.0330)
15,tensor(5046),tensor(5048),tensor(0.9999)
16,tensor(5046),tensor(5049),tensor(0.0573)
17,tensor(5047),tensor(5046),tensor(0.1468)
18,tensor(5047),tensor(5050),tensor(0.1544)
19,tensor(5048),tensor(4392),tensor(0.1656)
20,tensor(5048),tensor(5046),tensor(0.1304)
21,tensor(5048),tensor(5050),tensor(0.1338)
22,tensor(5048),tensor(5055),tensor(0.1383)
23,tensor(5048),tensor(5056),tensor(0.1635)
24,tensor(5048),tensor(5057),tensor(0.1694)
25,tensor(5049),tensor(5046),tensor(0.1276)
26,tensor(5050),tensor(5047),tensor(0.0699)
27,tensor(5050),tensor(5048),tensor(1.0000)
28,tensor(5050),tensor(5055),tensor(0.0716)
29,tensor(5050),tensor(5058),tensor(0.0948)
30,tensor(5050),tensor(5059),tensor(0.1674)
31,tensor(5055),tensor(3871),tensor(0.1357)
32,tensor(5055),tensor(5048),tensor(1.0000)
33,tensor(5055),tensor(5050),tensor(0.0964)
34,tensor(5055),tensor(5060),tensor(0.1093)
35,tensor(5055),tensor(5061),tensor(0.1079)
36,tensor(5056),tensor(5048),tensor(0.8130)
37,tensor(5056),tensor(9029),tensor(0.0019)
38,tensor(5057),tensor(5048),tensor(0.8438)
39,tensor(5057),tensor(8063),tensor(0.0022)
40,tensor(5058),tensor(5050),tensor(0.1670)
41,tensor(5059),tensor(5050),tensor(0.1525)
42,tensor(5060),tensor(5055),tensor(0.1294)
43,tensor(5061),tensor(5055),tensor(0.1415)
44,tensor(8054),tensor(8058),tensor(0.1462)
45,tensor(8055),tensor(8058),tensor(0.1486)
46,tensor(8055),tensor(8059),tensor(0.1683)
47,tensor(8058),tensor(8054),tensor(0.0982)
48,tensor(8058),tensor(8055),tensor(0.1325)
49,tensor(8058),tensor(8059),tensor(0.1465)
50,tensor(8058),tensor(8063),tensor(0.2086)
51,tensor(8058),tensor(8064),tensor(0.1133)
52,tensor(8058),tensor(8065),tensor(0.1739)
53,tensor(8059),tensor(8055),tensor(0.1116)
54,tensor(8059),tensor(8058),tensor(0.1200)
55,tensor(8063),tensor(5057),tensor(0.1606)
56,tensor(8063),tensor(8058),tensor(0.1391)
57,tensor(8063),tensor(10455),tensor(0.1234)
58,tensor(8064),tensor(8058),tensor(0.1340)
59,tensor(8065),tensor(8058),tensor(0.1703)
60,tensor(9029),tensor(5056),tensor(0.1706)
61,tensor(10164),tensor(10455),tensor(0.1368)
62,tensor(10453),tensor(10455),tensor(0.1409)
63,tensor(10455),tensor(2025),tensor(0.1423)
64,tensor(10455),tensor(8063),tensor(0.2419)
65,tensor(10455),tensor(10164),tensor(0.1669)
66,tensor(10455),tensor(10453),tensor(0.1596)
67,tensor(10455),tensor(10457),tensor(0.1244)
68,tensor(10455),tensor(10458),tensor(0.2263)
69,tensor(10457),tensor(10455),tensor(0.1403)
70,tensor(10457),tensor(10458),tensor(0.2183)
71,tensor(10458),tensor(10455),tensor(0.1319)
72,tensor(10458),tensor(10457),tensor(0.1132)
73,tensor(12495),tensor(4392),tensor(0.1948)
