,P1,P2,Prob
0,tensor(4974),tensor(4975),tensor(0.6187)
1,tensor(4974),tensor(4976),tensor(0.5995)
2,tensor(4975),tensor(4974),tensor(0.5643)
3,tensor(4975),tensor(4977),tensor(0.5962)
4,tensor(4975),tensor(4978),tensor(0.7189)
5,tensor(4976),tensor(4974),tensor(0.6178)
6,tensor(4976),tensor(4977),tensor(0.6484)
7,tensor(4976),tensor(4979),tensor(0.6554)
8,tensor(4977),tensor(4975),tensor(0.5971)
9,tensor(4977),tensor(4976),tensor(0.5825)
10,tensor(4977),tensor(4979),tensor(0.5938)
11,tensor(4977),tensor(4981),tensor(0.5449)
12,tensor(4978),tensor(4975),tensor(0.6533)
13,tensor(4979),tensor(4976),tensor(0.6352)
14,tensor(4979),tensor(4977),tensor(0.6416)
15,tensor(4981),tensor(4977),tensor(0.5947)
