,P1,P2,Prob
0,tensor(7090),tensor(11180),tensor(0.4718)
1,tensor(11174),tensor(11175),tensor(0.5106)
2,tensor(11174),tensor(11176),tensor(0.5615)
3,tensor(11175),tensor(11174),tensor(0.5104)
4,tensor(11175),tensor(11180),tensor(0.4933)
5,tensor(11176),tensor(11174),tensor(0.5362)
6,tensor(11176),tensor(11180),tensor(0.5176)
7,tensor(11176),tensor(11182),tensor(0.5786)
8,tensor(11180),tensor(7090),tensor(0.5448)
9,tensor(11180),tensor(11175),tensor(0.5394)
10,tensor(11180),tensor(11176),tensor(0.5813)
11,tensor(11180),tensor(11182),tensor(0.6137)
12,tensor(11180),tensor(11183),tensor(0.5273)
13,tensor(11180),tensor(11441),tensor(0.4803)
14,tensor(11182),tensor(11176),tensor(0.5080)
15,tensor(11182),tensor(11180),tensor(0.4767)
16,tensor(11182),tensor(11184),tensor(0.5029)
17,tensor(11183),tensor(11180),tensor(0.5084)
18,tensor(11184),tensor(11182),tensor(0.4384)
19,tensor(11441),tensor(11180),tensor(0.5108)
