,P1,P2,Prob
0,tensor(6589),tensor(6590),tensor(0.6736)
1,tensor(6589),tensor(6591),tensor(0.6647)
2,tensor(6590),tensor(6589),tensor(0.5692)
3,tensor(6590),tensor(6592),tensor(0.5392)
4,tensor(6591),tensor(6589),tensor(0.6315)
5,tensor(6591),tensor(6592),tensor(0.6048)
6,tensor(6591),tensor(6598),tensor(0.6566)
7,tensor(6591),tensor(6599),tensor(0.7277)
8,tensor(6592),tensor(6590),tensor(0.5953)
9,tensor(6592),tensor(6591),tensor(0.5863)
10,tensor(6592),tensor(6598),tensor(0.5682)
11,tensor(6592),tensor(6600),tensor(0.6699)
12,tensor(6598),tensor(6591),tensor(0.5714)
13,tensor(6598),tensor(6592),tensor(0.5117)
14,tensor(6599),tensor(6591),tensor(0.5927)
15,tensor(6600),tensor(6592),tensor(0.5444)
