,P1,P2,Prob
0,tensor(13101),tensor(13102),tensor(0.6274)
1,tensor(13101),tensor(13103),tensor(0.5705)
2,tensor(13101),tensor(13104),tensor(0.6384)
3,tensor(13102),tensor(13101),tensor(0.6764)
4,tensor(13102),tensor(13105),tensor(0.6226)
5,tensor(13102),tensor(13106),tensor(0.6379)
6,tensor(13103),tensor(13101),tensor(0.6728)
7,tensor(13103),tensor(13105),tensor(0.6189)
8,tensor(13103),tensor(13107),tensor(0.7084)
9,tensor(13104),tensor(13101),tensor(0.5642)
10,tensor(13105),tensor(13102),tensor(0.5946)
11,tensor(13105),tensor(13103),tensor(0.5248)
12,tensor(13105),tensor(13107),tensor(0.6305)
13,tensor(13106),tensor(13102),tensor(0.5932)
14,tensor(13107),tensor(13103),tensor(0.5511)
15,tensor(13107),tensor(13105),tensor(0.5430)
