,P1,P2,Prob
0,tensor(10714),tensor(10715),tensor(0.5032)
1,tensor(10714),tensor(10716),tensor(0.5276)
2,tensor(10714),tensor(10717),tensor(0.4677)
3,tensor(10715),tensor(10714),tensor(0.4705)
4,tensor(10715),tensor(10718),tensor(0.4814)
5,tensor(10715),tensor(10719),tensor(0.5153)
6,tensor(10716),tensor(10714),tensor(0.5044)
7,tensor(10716),tensor(10718),tensor(0.5007)
8,tensor(10716),tensor(10720),tensor(0.5183)
9,tensor(10717),tensor(10714),tensor(0.5161)
10,tensor(10718),tensor(10715),tensor(0.5211)
11,tensor(10718),tensor(10716),tensor(0.5427)
12,tensor(10718),tensor(10720),tensor(0.5215)
13,tensor(10718),tensor(10722),tensor(0.5307)
14,tensor(10718),tensor(10723),tensor(0.5952)
15,tensor(10718),tensor(10724),tensor(0.5164)
16,tensor(10718),tensor(10725),tensor(0.4833)
17,tensor(10718),tensor(10726),tensor(0.4873)
18,tensor(10718),tensor(10920),tensor(0.4844)
19,tensor(10719),tensor(10715),tensor(0.5447)
20,tensor(10720),tensor(10716),tensor(0.5326)
21,tensor(10720),tensor(10718),tensor(0.4964)
22,tensor(10722),tensor(10718),tensor(0.5085)
23,tensor(10723),tensor(10718),tensor(0.4905)
24,tensor(10724),tensor(10718),tensor(0.4485)
25,tensor(10725),tensor(10718),tensor(0.4486)
26,tensor(10726),tensor(10718),tensor(0.4700)
27,tensor(10920),tensor(10718),tensor(0.5263)
