,P1,P2,Prob
0,tensor(243),tensor(2799),tensor(0.5071)
1,tensor(373),tensor(3575),tensor(0.4820)
2,tensor(1783),tensor(1784),tensor(0.5554)
3,tensor(1783),tensor(1785),tensor(0.4311)
4,tensor(1783),tensor(1786),tensor(0.3927)
5,tensor(1783),tensor(1787),tensor(0.4355)
6,tensor(1783),tensor(1788),tensor(0.4160)
7,tensor(1783),tensor(3453),tensor(0.3983)
8,tensor(1783),tensor(11982),tensor(0.3420)
9,tensor(1784),tensor(1783),tensor(0.4156)
10,tensor(1784),tensor(1789),tensor(0.5127)
11,tensor(1784),tensor(1790),tensor(0.4356)
12,tensor(1785),tensor(1783),tensor(0.4255)
13,tensor(1785),tensor(1789),tensor(0.5309)
14,tensor(1785),tensor(1791),tensor(0.4166)
15,tensor(1785),tensor(1792),tensor(0.4309)
16,tensor(1785),tensor(3180),tensor(0.4234)
17,tensor(1785),tensor(8688),tensor(0.4107)
18,tensor(1785),tensor(10985),tensor(0.3591)
19,tensor(1786),tensor(1783),tensor(0.4305)
20,tensor(1787),tensor(1783),tensor(0.4273)
21,tensor(1788),tensor(1783),tensor(0.4004)
22,tensor(1789),tensor(1784),tensor(0.5257)
23,tensor(1789),tensor(1785),tensor(0.4252)
24,tensor(1789),tensor(1791),tensor(0.4263)
25,tensor(1789),tensor(2806),tensor(0.4363)
26,tensor(1790),tensor(1784),tensor(0.4877)
27,tensor(1791),tensor(1785),tensor(0.3957)
28,tensor(1791),tensor(1789),tensor(0.5197)
29,tensor(1791),tensor(1793),tensor(0.3672)
30,tensor(1791),tensor(1794),tensor(0.4428)
31,tensor(1791),tensor(3575),tensor(0.4165)
32,tensor(1792),tensor(1785),tensor(0.4095)
33,tensor(1793),tensor(1791),tensor(0.3693)
34,tensor(1793),tensor(2063),tensor(0.3769)
35,tensor(1794),tensor(1791),tensor(0.4054)
36,tensor(1794),tensor(11735),tensor(0.4254)
37,tensor(2063),tensor(1793),tensor(0.3522)
38,tensor(2797),tensor(2799),tensor(0.4316)
39,tensor(2799),tensor(243),tensor(0.4395)
40,tensor(2799),tensor(2797),tensor(0.3831)
41,tensor(2799),tensor(2801),tensor(0.4230)
42,tensor(2799),tensor(2804),tensor(0.3713)
43,tensor(2799),tensor(2805),tensor(0.4856)
44,tensor(2799),tensor(2806),tensor(0.4326)
45,tensor(2801),tensor(2799),tensor(0.4899)
46,tensor(2801),tensor(2804),tensor(0.3505)
47,tensor(2804),tensor(2799),tensor(0.4384)
48,tensor(2804),tensor(2801),tensor(0.3717)
49,tensor(2805),tensor(2799),tensor(0.4900)
50,tensor(2806),tensor(1789),tensor(0.4669)
51,tensor(2806),tensor(2799),tensor(0.4342)
52,tensor(3178),tensor(3179),tensor(0.3821)
53,tensor(3178),tensor(3180),tensor(0.4262)
54,tensor(3179),tensor(3178),tensor(0.4193)
55,tensor(3179),tensor(3180),tensor(0.4116)
56,tensor(3180),tensor(1785),tensor(0.4074)
57,tensor(3180),tensor(3178),tensor(0.4227)
58,tensor(3180),tensor(3179),tensor(0.3680)
59,tensor(3453),tensor(1783),tensor(0.4346)
60,tensor(3573),tensor(3575),tensor(0.4057)
61,tensor(3575),tensor(373),tensor(0.4591)
62,tensor(3575),tensor(1791),tensor(0.4054)
63,tensor(3575),tensor(3573),tensor(0.3617)
64,tensor(3575),tensor(3578),tensor(0.4328)
65,tensor(3575),tensor(3579),tensor(0.4170)
66,tensor(3575),tensor(3580),tensor(0.4075)
67,tensor(3578),tensor(3575),tensor(0.4667)
68,tensor(3578),tensor(3579),tensor(0.4679)
69,tensor(3579),tensor(3575),tensor(0.4235)
70,tensor(3579),tensor(3578),tensor(0.4371)
71,tensor(3580),tensor(3575),tensor(0.3748)
72,tensor(8683),tensor(8688),tensor(0.4321)
73,tensor(8688),tensor(1785),tensor(0.3669)
74,tensor(8688),tensor(8683),tensor(0.3668)
75,tensor(10978),tensor(10985),tensor(0.3667)
76,tensor(10985),tensor(1785),tensor(0.3610)
77,tensor(10985),tensor(10978),tensor(0.3816)
78,tensor(11735),tensor(1794),tensor(0.4123)
79,tensor(11982),tensor(1783),tensor(0.4238)
