,P1,P2,Prob
0,tensor(6589),tensor(6590),tensor(0.5440)
1,tensor(6589),tensor(6591),tensor(0.5568)
2,tensor(6590),tensor(6589),tensor(0.5282)
3,tensor(6590),tensor(6592),tensor(0.5435)
4,tensor(6591),tensor(6589),tensor(0.5035)
5,tensor(6591),tensor(6592),tensor(0.5187)
6,tensor(6591),tensor(6598),tensor(0.5077)
7,tensor(6591),tensor(6599),tensor(0.5559)
8,tensor(6592),tensor(6590),tensor(0.5139)
9,tensor(6592),tensor(6591),tensor(0.5128)
10,tensor(6592),tensor(6598),tensor(0.5020)
11,tensor(6592),tensor(6600),tensor(0.4778)
12,tensor(6598),tensor(6591),tensor(0.5019)
13,tensor(6598),tensor(6592),tensor(0.4934)
14,tensor(6599),tensor(6591),tensor(0.5712)
15,tensor(6600),tensor(6592),tensor(0.5723)
