,P1,P2,Prob
0,tensor(692),tensor(695),tensor(0.4896)
1,tensor(695),tensor(692),tensor(0.5232)
2,tensor(695),tensor(2844),tensor(0.5597)
3,tensor(695),tensor(5091),tensor(0.5679)
4,tensor(2843),tensor(2844),tensor(0.5014)
5,tensor(2843),tensor(2845),tensor(0.5454)
6,tensor(2843),tensor(8311),tensor(0.5498)
7,tensor(2844),tensor(695),tensor(0.5148)
8,tensor(2844),tensor(2843),tensor(0.5122)
9,tensor(2844),tensor(2846),tensor(0.5149)
10,tensor(2844),tensor(2847),tensor(0.5628)
11,tensor(2844),tensor(3616),tensor(0.4693)
12,tensor(2845),tensor(2843),tensor(0.5075)
13,tensor(2845),tensor(2846),tensor(0.5156)
14,tensor(2845),tensor(2848),tensor(0.5558)
15,tensor(2846),tensor(2844),tensor(0.4733)
16,tensor(2846),tensor(2845),tensor(0.5153)
17,tensor(2846),tensor(2848),tensor(0.5064)
18,tensor(2846),tensor(4359),tensor(0.4387)
19,tensor(2846),tensor(10111),tensor(0.4713)
20,tensor(2847),tensor(2844),tensor(0.5010)
21,tensor(2848),tensor(2845),tensor(0.5877)
22,tensor(2848),tensor(2846),tensor(0.5369)
23,tensor(3616),tensor(2844),tensor(0.4982)
24,tensor(3616),tensor(3617),tensor(0.4891)
25,tensor(3616),tensor(3618),tensor(0.4872)
26,tensor(3616),tensor(3619),tensor(0.4873)
27,tensor(3617),tensor(3616),tensor(0.4391)
28,tensor(3618),tensor(3616),tensor(0.4315)
29,tensor(3619),tensor(3616),tensor(0.4582)
30,tensor(4359),tensor(2846),tensor(0.4924)
31,tensor(5091),tensor(695),tensor(0.4934)
32,tensor(8311),tensor(2843),tensor(0.4788)
33,tensor(10111),tensor(2846),tensor(0.4515)
