,P1,P2,Prob
0,tensor(1076),tensor(1077),tensor(0.4331)
1,tensor(1076),tensor(1078),tensor(0.5632)
2,tensor(1076),tensor(1079),tensor(0.4650)
3,tensor(1077),tensor(1076),tensor(0.5127)
4,tensor(1077),tensor(1080),tensor(0.5468)
5,tensor(1077),tensor(1081),tensor(0.4656)
6,tensor(1077),tensor(1082),tensor(0.5531)
7,tensor(1078),tensor(1076),tensor(0.5410)
8,tensor(1078),tensor(1080),tensor(0.5845)
9,tensor(1078),tensor(1083),tensor(0.5296)
10,tensor(1079),tensor(1076),tensor(0.4904)
11,tensor(1080),tensor(1077),tensor(0.4189)
12,tensor(1080),tensor(1078),tensor(0.5485)
13,tensor(1080),tensor(1083),tensor(0.4897)
14,tensor(1081),tensor(1077),tensor(0.3852)
15,tensor(1082),tensor(1077),tensor(0.4344)
16,tensor(1083),tensor(1078),tensor(0.5945)
17,tensor(1083),tensor(1080),tensor(0.5926)
