,P1,P2,Prob
0,tensor(1798),tensor(4392),tensor(0.2170)
1,tensor(2025),tensor(10455),tensor(0.2725)
2,tensor(3871),tensor(5055),tensor(0.2189)
3,tensor(4392),tensor(1798),tensor(0.0902)
4,tensor(4392),tensor(4393),tensor(0.0806)
5,tensor(4392),tensor(4394),tensor(0.0794)
6,tensor(4392),tensor(4395),tensor(0.0739)
7,tensor(4392),tensor(4396),tensor(0.1170)
8,tensor(4392),tensor(5048),tensor(0.9998)
9,tensor(4392),tensor(12495),tensor(0.0959)
10,tensor(4393),tensor(4392),tensor(0.2538)
11,tensor(4394),tensor(4392),tensor(0.2740)
12,tensor(4395),tensor(4392),tensor(0.2425)
13,tensor(4396),tensor(4392),tensor(0.2685)
14,tensor(5046),tensor(5047),tensor(0.0247)
15,tensor(5046),tensor(5048),tensor(0.9996)
16,tensor(5046),tensor(5049),tensor(0.0353)
17,tensor(5047),tensor(5046),tensor(0.2362)
18,tensor(5047),tensor(5050),tensor(0.2771)
19,tensor(5048),tensor(4392),tensor(0.2787)
20,tensor(5048),tensor(5046),tensor(0.2687)
21,tensor(5048),tensor(5050),tensor(0.3152)
22,tensor(5048),tensor(5055),tensor(0.2651)
23,tensor(5048),tensor(5056),tensor(0.3203)
24,tensor(5048),tensor(5057),tensor(0.2367)
25,tensor(5049),tensor(5046),tensor(0.2219)
26,tensor(5050),tensor(5047),tensor(0.0632)
27,tensor(5050),tensor(5048),tensor(0.9998)
28,tensor(5050),tensor(5055),tensor(0.0518)
29,tensor(5050),tensor(5058),tensor(0.0522)
30,tensor(5050),tensor(5059),tensor(0.0676)
31,tensor(5055),tensor(3871),tensor(0.0860)
32,tensor(5055),tensor(5048),tensor(1.0000)
33,tensor(5055),tensor(5050),tensor(0.0841)
34,tensor(5055),tensor(5060),tensor(0.0843)
35,tensor(5055),tensor(5061),tensor(0.0781)
36,tensor(5056),tensor(5048),tensor(0.6463)
37,tensor(5056),tensor(9029),tensor(0.0014)
38,tensor(5057),tensor(5048),tensor(0.6599)
39,tensor(5057),tensor(8063),tensor(0.0012)
40,tensor(5058),tensor(5050),tensor(0.2693)
41,tensor(5059),tensor(5050),tensor(0.3349)
42,tensor(5060),tensor(5055),tensor(0.2431)
43,tensor(5061),tensor(5055),tensor(0.2565)
44,tensor(8054),tensor(8058),tensor(0.2878)
45,tensor(8055),tensor(8058),tensor(0.2976)
46,tensor(8055),tensor(8059),tensor(0.2694)
47,tensor(8058),tensor(8054),tensor(0.2286)
48,tensor(8058),tensor(8055),tensor(0.2611)
49,tensor(8058),tensor(8059),tensor(0.2721)
50,tensor(8058),tensor(8063),tensor(0.2958)
51,tensor(8058),tensor(8064),tensor(0.2283)
52,tensor(8058),tensor(8065),tensor(0.2805)
53,tensor(8059),tensor(8055),tensor(0.2305)
54,tensor(8059),tensor(8058),tensor(0.2749)
55,tensor(8063),tensor(5057),tensor(0.2163)
56,tensor(8063),tensor(8058),tensor(0.3101)
57,tensor(8063),tensor(10455),tensor(0.2511)
58,tensor(8064),tensor(8058),tensor(0.3288)
59,tensor(8065),tensor(8058),tensor(0.3363)
60,tensor(9029),tensor(5056),tensor(0.2993)
61,tensor(10164),tensor(10455),tensor(0.2857)
62,tensor(10453),tensor(10455),tensor(0.2373)
63,tensor(10455),tensor(2025),tensor(0.2757)
64,tensor(10455),tensor(8063),tensor(0.2696)
65,tensor(10455),tensor(10164),tensor(0.2379)
66,tensor(10455),tensor(10453),tensor(0.2564)
67,tensor(10455),tensor(10457),tensor(0.2333)
68,tensor(10455),tensor(10458),tensor(0.3025)
69,tensor(10457),tensor(10455),tensor(0.2180)
70,tensor(10457),tensor(10458),tensor(0.2912)
71,tensor(10458),tensor(10455),tensor(0.2749)
72,tensor(10458),tensor(10457),tensor(0.2747)
73,tensor(12495),tensor(4392),tensor(0.2920)
