,P1,P2,Prob
0,tensor(784),tensor(2880),tensor(0.4565)
1,tensor(2878),tensor(2879),tensor(0.3822)
2,tensor(2878),tensor(2880),tensor(0.4122)
3,tensor(2878),tensor(2881),tensor(0.3723)
4,tensor(2878),tensor(10331),tensor(0.3922)
5,tensor(2879),tensor(2878),tensor(0.5070)
6,tensor(2879),tensor(2882),tensor(0.5262)
7,tensor(2879),tensor(4956),tensor(0.5424)
8,tensor(2879),tensor(10576),tensor(0.4227)
9,tensor(2880),tensor(784),tensor(0.4113)
10,tensor(2880),tensor(2878),tensor(0.4675)
11,tensor(2880),tensor(2882),tensor(0.4920)
12,tensor(2880),tensor(2883),tensor(0.5043)
13,tensor(2880),tensor(2884),tensor(0.4456)
14,tensor(2880),tensor(2885),tensor(0.4494)
15,tensor(2880),tensor(2886),tensor(0.4778)
16,tensor(2880),tensor(2887),tensor(0.4483)
17,tensor(2880),tensor(2888),tensor(0.4405)
18,tensor(2880),tensor(8593),tensor(0.3836)
19,tensor(2880),tensor(13034),tensor(0.4203)
20,tensor(2881),tensor(2878),tensor(0.5006)
21,tensor(2881),tensor(10127),tensor(0.4531)
22,tensor(2882),tensor(2879),tensor(0.4562)
23,tensor(2882),tensor(2880),tensor(0.4897)
24,tensor(2882),tensor(2883),tensor(0.5656)
25,tensor(2883),tensor(2880),tensor(0.4338)
26,tensor(2883),tensor(2882),tensor(0.5018)
27,tensor(2884),tensor(2880),tensor(0.4174)
28,tensor(2885),tensor(2880),tensor(0.3878)
29,tensor(2886),tensor(2880),tensor(0.3912)
30,tensor(2887),tensor(2880),tensor(0.4664)
31,tensor(2888),tensor(2880),tensor(0.4268)
32,tensor(3346),tensor(4957),tensor(0.4808)
33,tensor(4956),tensor(2879),tensor(0.4667)
34,tensor(4956),tensor(4957),tensor(0.5639)
35,tensor(4956),tensor(4958),tensor(0.5462)
36,tensor(4957),tensor(3346),tensor(0.4448)
37,tensor(4957),tensor(4956),tensor(0.5187)
38,tensor(4957),tensor(4959),tensor(0.4334)
39,tensor(4957),tensor(4960),tensor(0.4706)
40,tensor(4957),tensor(6757),tensor(0.4734)
41,tensor(4957),tensor(12503),tensor(0.4402)
42,tensor(4958),tensor(4956),tensor(0.5089)
43,tensor(4958),tensor(4959),tensor(0.4296)
44,tensor(4958),tensor(4961),tensor(0.5223)
45,tensor(4958),tensor(4962),tensor(0.4877)
46,tensor(4958),tensor(8580),tensor(0.4613)
47,tensor(4958),tensor(10205),tensor(0.4423)
48,tensor(4959),tensor(4957),tensor(0.5315)
49,tensor(4959),tensor(4958),tensor(0.5229)
50,tensor(4959),tensor(4961),tensor(0.5510)
51,tensor(4960),tensor(4957),tensor(0.5337)
52,tensor(4961),tensor(4958),tensor(0.4560)
53,tensor(4961),tensor(4959),tensor(0.4088)
54,tensor(4962),tensor(4958),tensor(0.4147)
55,tensor(6757),tensor(4957),tensor(0.4423)
56,tensor(8209),tensor(10331),tensor(0.3666)
57,tensor(8580),tensor(4958),tensor(0.4354)
58,tensor(8593),tensor(2880),tensor(0.4273)
59,tensor(10127),tensor(2881),tensor(0.4185)
60,tensor(10205),tensor(4958),tensor(0.4417)
61,tensor(10325),tensor(10331),tensor(0.4263)
62,tensor(10331),tensor(2878),tensor(0.4788)
63,tensor(10331),tensor(8209),tensor(0.4604)
64,tensor(10331),tensor(10325),tensor(0.4783)
65,tensor(10570),tensor(10571),tensor(0.4025)
66,tensor(10571),tensor(10570),tensor(0.4301)
67,tensor(10571),tensor(10575),tensor(0.4335)
68,tensor(10571),tensor(10576),tensor(0.3822)
69,tensor(10575),tensor(10571),tensor(0.3747)
70,tensor(10576),tensor(2879),tensor(0.3736)
71,tensor(10576),tensor(10571),tensor(0.3841)
72,tensor(12503),tensor(4957),tensor(0.4396)
73,tensor(13034),tensor(2880),tensor(0.3895)
