,P1,P2,Prob
0,tensor(4974),tensor(4975),tensor(0.6069)
1,tensor(4974),tensor(4976),tensor(0.6183)
2,tensor(4975),tensor(4974),tensor(0.5700)
3,tensor(4975),tensor(4977),tensor(0.5152)
4,tensor(4975),tensor(4978),tensor(0.6034)
5,tensor(4976),tensor(4974),tensor(0.5622)
6,tensor(4976),tensor(4977),tensor(0.5055)
7,tensor(4976),tensor(4979),tensor(0.5243)
8,tensor(4977),tensor(4975),tensor(0.5215)
9,tensor(4977),tensor(4976),tensor(0.5384)
10,tensor(4977),tensor(4979),tensor(0.5056)
11,tensor(4977),tensor(4981),tensor(0.5300)
12,tensor(4978),tensor(4975),tensor(0.4414)
13,tensor(4979),tensor(4976),tensor(0.5338)
14,tensor(4979),tensor(4977),tensor(0.4908)
15,tensor(4981),tensor(4977),tensor(0.5329)
