,P1,P2,Prob
0,tensor(1943),tensor(5649),tensor(0.6307)
1,tensor(5649),tensor(1943),tensor(0.5921)
2,tensor(5649),tensor(5650),tensor(0.5929)
3,tensor(5649),tensor(5651),tensor(0.5860)
4,tensor(5650),tensor(5649),tensor(0.5842)
5,tensor(5650),tensor(5652),tensor(0.5300)
6,tensor(5650),tensor(5653),tensor(0.5113)
7,tensor(5650),tensor(5654),tensor(0.5455)
8,tensor(5651),tensor(5649),tensor(0.6041)
9,tensor(5651),tensor(5652),tensor(0.5585)
10,tensor(5651),tensor(5655),tensor(0.5121)
11,tensor(5652),tensor(5650),tensor(0.5619)
12,tensor(5652),tensor(5651),tensor(0.5515)
13,tensor(5652),tensor(5655),tensor(0.5297)
14,tensor(5653),tensor(5650),tensor(0.5299)
15,tensor(5654),tensor(5650),tensor(0.4771)
16,tensor(5655),tensor(5651),tensor(0.5318)
17,tensor(5655),tensor(5652),tensor(0.5606)
