,P1,P2,Prob
0,tensor(13101),tensor(13102),tensor(0.9232)
1,tensor(13101),tensor(13103),tensor(0.8880)
2,tensor(13101),tensor(13104),tensor(0.8676)
3,tensor(13102),tensor(13101),tensor(0.9002)
4,tensor(13102),tensor(13105),tensor(0.8497)
5,tensor(13102),tensor(13106),tensor(0.9151)
6,tensor(13103),tensor(13101),tensor(0.9228)
7,tensor(13103),tensor(13105),tensor(0.8808)
8,tensor(13103),tensor(13107),tensor(0.9364)
9,tensor(13104),tensor(13101),tensor(0.9078)
10,tensor(13105),tensor(13102),tensor(0.8987)
11,tensor(13105),tensor(13103),tensor(0.8513)
12,tensor(13105),tensor(13107),tensor(0.8956)
13,tensor(13106),tensor(13102),tensor(0.9161)
14,tensor(13107),tensor(13103),tensor(0.8862)
15,tensor(13107),tensor(13105),tensor(0.8499)
