,P1,P2,Prob
0,tensor(4974),tensor(4975),tensor(0.6875)
1,tensor(4974),tensor(4976),tensor(0.6543)
2,tensor(4975),tensor(4974),tensor(0.6609)
3,tensor(4975),tensor(4977),tensor(0.6097)
4,tensor(4975),tensor(4978),tensor(0.7050)
5,tensor(4976),tensor(4974),tensor(0.6933)
6,tensor(4976),tensor(4977),tensor(0.6393)
7,tensor(4976),tensor(4979),tensor(0.6067)
8,tensor(4977),tensor(4975),tensor(0.6839)
9,tensor(4977),tensor(4976),tensor(0.6605)
10,tensor(4977),tensor(4979),tensor(0.5985)
11,tensor(4977),tensor(4981),tensor(0.6673)
12,tensor(4978),tensor(4975),tensor(0.5815)
13,tensor(4979),tensor(4976),tensor(0.6802)
14,tensor(4979),tensor(4977),tensor(0.6534)
15,tensor(4981),tensor(4977),tensor(0.6160)
