Beta Probability,GT,P1,P2,Run,Idx,Acc,F1
0.52016485,1,430,431,0,437,0.391304348,0.5625
0.5564794,1,430,432,0,437,0.391304348,0.5625
0.5629563,1,431,430,0,437,0.391304348,0.5625
0.50906074,1,431,433,0,437,0.391304348,0.5625
0.5363634,0,431,3988,0,437,0.391304348,0.5625
0.55320686,1,432,430,0,437,0.391304348,0.5625
0.4983108,1,432,433,0,437,0.391304348,0.5625
0.57835037,1,432,434,0,437,0.391304348,0.5625
0.42251784,0,432,435,0,437,0.391304348,0.5625
0.47560117,0,432,436,0,437,0.391304348,0.5625
0.5087443,0,432,2602,0,437,0.391304348,0.5625
0.56436145,0,432,7781,0,437,0.391304348,0.5625
0.49872598,1,433,431,0,437,0.391304348,0.5625
0.5377151,1,433,432,0,437,0.391304348,0.5625
0.5950052,1,433,434,0,437,0.391304348,0.5625
0.53325254,1,433,437,0,437,0.391304348,0.5625
0.45727018,1,434,432,0,437,0.391304348,0.5625
0.42870805,1,434,433,0,437,0.391304348,0.5625
0.4632644,0,434,438,0,437,0.391304348,0.5625
0.53651375,0,435,432,0,437,0.391304348,0.5625
0.5249658,0,436,432,0,437,0.391304348,0.5625
0.45857593,1,437,433,0,437,0.391304348,0.5625
0.5859605,0,438,434,0,437,0.391304348,0.5625
0.5346,0,2602,432,0,437,0.391304348,0.5625
0.5136347,0,3988,431,0,437,0.391304348,0.5625
0.5386241,0,7781,432,0,437,0.391304348,0.5625
0.5582162,1,606,607,0,609,0.277777778,0.434782609
0.4424709,1,606,608,0,609,0.277777778,0.434782609
0.53662455,1,606,609,0,609,0.277777778,0.434782609
0.4753408,0,606,610,0,609,0.277777778,0.434782609
0.44020367,1,607,606,0,609,0.277777778,0.434782609
0.40823594,1,607,611,0,609,0.277777778,0.434782609
0.51497436,1,608,606,0,609,0.277777778,0.434782609
0.48423192,1,608,611,0,609,0.277777778,0.434782609
0.46230718,1,608,612,0,609,0.277777778,0.434782609
0.49176842,0,608,613,0,609,0.277777778,0.434782609
0.46339247,0,608,12910,0,609,0.277777778,0.434782609
0.44915137,1,609,606,0,609,0.277777778,0.434782609
0.5189061,0,610,606,0,609,0.277777778,0.434782609
0.5105515,0,610,2782,0,609,0.277777778,0.434782609
0.6193648,1,611,607,0,609,0.277777778,0.434782609
0.506226,1,611,608,0,609,0.277777778,0.434782609
0.49544796,1,611,612,0,609,0.277777778,0.434782609
0.4802354,1,612,608,0,609,0.277777778,0.434782609
0.49604297,1,612,611,0,609,0.277777778,0.434782609
0.507921,0,613,608,0,609,0.277777778,0.434782609
0.5196958,0,2782,610,0,609,0.277777778,0.434782609
0.44534498,0,12910,608,0,609,0.277777778,0.434782609
0.39490145,1,1116,1117,0,1119,0.222222222,0.363636364
0.45287672,1,1116,1118,0,1119,0.222222222,0.363636364
0.42176977,1,1116,1119,0,1119,0.222222222,0.363636364
0.45066747,1,1117,1116,0,1119,0.222222222,0.363636364
0.4122564,1,1117,1120,0,1119,0.222222222,0.363636364
0.49977612,1,1118,1116,0,1119,0.222222222,0.363636364
0.45344868,1,1118,1120,0,1119,0.222222222,0.363636364
0.5078503,1,1118,1121,0,1119,0.222222222,0.363636364
0.5186032,0,1118,5009,0,1119,0.222222222,0.363636364
0.5038746,0,1118,10655,0,1119,0.222222222,0.363636364
0.4684589,1,1119,1116,0,1119,0.222222222,0.363636364
0.43242282,1,1120,1117,0,1119,0.222222222,0.363636364
0.48754227,1,1120,1118,0,1119,0.222222222,0.363636364
0.519951,1,1120,1121,0,1119,0.222222222,0.363636364
0.55026805,1,1121,1118,0,1119,0.222222222,0.363636364
0.5235753,1,1121,1120,0,1119,0.222222222,0.363636364
0.5054089,0,5009,1118,0,1119,0.222222222,0.363636364
0.5112187,0,10655,1118,0,1119,0.222222222,0.363636364
0.5289018,1,1162,1163,0,1166,0.333333333,0.5
0.4940249,1,1162,1164,0,1166,0.333333333,0.5
0.52154523,0,1162,4122,0,1166,0.333333333,0.5
0.4503489,0,1162,8922,0,1166,0.333333333,0.5
0.5593448,0,1162,11540,0,1166,0.333333333,0.5
0.50469744,1,1163,1162,0,1166,0.333333333,0.5
0.48108354,1,1163,1165,0,1166,0.333333333,0.5
0.5518647,1,1163,1166,0,1166,0.333333333,0.5
0.4979626,1,1164,1162,0,1166,0.333333333,0.5
0.4618107,1,1164,1165,0,1166,0.333333333,0.5
0.52972335,1,1164,1167,0,1166,0.333333333,0.5
0.4878518,1,1165,1163,0,1166,0.333333333,0.5
0.45054257,1,1165,1164,0,1166,0.333333333,0.5
0.5023613,1,1165,1167,0,1166,0.333333333,0.5
0.43169227,1,1166,1163,0,1166,0.333333333,0.5
0.5004498,1,1167,1164,0,1166,0.333333333,0.5
0.49002412,1,1167,1165,0,1166,0.333333333,0.5
0.5094822,0,4122,1162,0,1166,0.333333333,0.5
0.50984496,0,8922,1162,0,1166,0.333333333,0.5
0.47789508,0,11540,1162,0,1166,0.333333333,0.5
0.44923422,0,922,1420,0,1421,0.35,0.518518518
0.45215946,1,1412,1413,0,1421,0.35,0.518518518
0.46757388,1,1412,1414,0,1421,0.35,0.518518518
0.48512614,1,1413,1412,0,1421,0.35,0.518518518
0.48256668,1,1413,1415,0,1421,0.35,0.518518518
0.46855435,1,1414,1412,0,1421,0.35,0.518518518
0.47833404,1,1414,1415,0,1421,0.35,0.518518518
0.48564604,1,1414,1417,0,1421,0.35,0.518518518
0.53389686,0,1414,1418,0,1421,0.35,0.518518518
0.49607423,0,1414,9636,0,1421,0.35,0.518518518
0.5188968,1,1415,1413,0,1421,0.35,0.518518518
0.5379996,1,1415,1414,0,1421,0.35,0.518518518
0.5370146,1,1415,1417,0,1421,0.35,0.518518518
0.5812564,0,1415,1419,0,1421,0.35,0.518518518
0.4962247,0,1415,4689,0,1421,0.35,0.518518518
0.5295742,1,1417,1414,0,1421,0.35,0.518518518
0.5096946,1,1417,1415,0,1421,0.35,0.518518518
0.48674247,0,1417,1420,0,1421,0.35,0.518518518
0.57628757,1,1417,1421,0,1421,0.35,0.518518518
0.42482343,0,1418,1414,0,1421,0.35,0.518518518
0.43061978,0,1419,1415,0,1421,0.35,0.518518518
0.5317003,0,1420,922,0,1421,0.35,0.518518518
0.50580144,0,1420,1417,0,1421,0.35,0.518518518
0.5910758,0,1420,8740,0,1421,0.35,0.518518518
0.5632577,1,1421,1417,0,1421,0.35,0.518518518
0.43656656,0,4689,1415,0,1421,0.35,0.518518518
0.41636547,0,8740,1420,0,1421,0.35,0.518518518
0.5116195,0,9636,1414,0,1421,0.35,0.518518518
0.4722195,1,1799,1800,0,1802,0.263157895,0.416666667
0.44464403,1,1799,1801,0,1802,0.263157895,0.416666667
0.42910329,1,1799,1802,0,1802,0.263157895,0.416666667
0.5109643,0,1799,1803,0,1802,0.263157895,0.416666667
0.5126877,1,1800,1799,0,1802,0.263157895,0.416666667
0.49001172,1,1800,1804,0,1802,0.263157895,0.416666667
0.5277541,1,1801,1799,0,1802,0.263157895,0.416666667
0.50573087,1,1801,1804,0,1802,0.263157895,0.416666667
0.4840878,1,1801,1805,0,1802,0.263157895,0.416666667
0.5900813,0,1801,1806,0,1802,0.263157895,0.416666667
0.5280223,0,1801,1824,0,1802,0.263157895,0.416666667
0.37884825,1,1802,1799,0,1802,0.263157895,0.416666667
0.5817689,0,1803,1799,0,1802,0.263157895,0.416666667
0.48849374,1,1804,1800,0,1802,0.263157895,0.416666667
0.46681592,1,1804,1801,0,1802,0.263157895,0.416666667
0.47265685,1,1804,1805,0,1802,0.263157895,0.416666667
0.5490778,1,1805,1801,0,1802,0.263157895,0.416666667
0.5611327,1,1805,1804,0,1802,0.263157895,0.416666667
0.5164461,0,1806,1801,0,1802,0.263157895,0.416666667
0.48676914,0,1824,1801,0,1802,0.263157895,0.416666667
0.4722195,1,1799,1800,0,1803,0.411764706,0.583333333
0.44464403,1,1799,1801,0,1803,0.411764706,0.583333333
0.42910329,0,1799,1802,0,1803,0.411764706,0.583333333
0.5109643,1,1799,1803,0,1803,0.411764706,0.583333333
0.5126877,1,1800,1799,0,1803,0.411764706,0.583333333
0.49001172,1,1800,1804,0,1803,0.411764706,0.583333333
0.5277541,1,1801,1799,0,1803,0.411764706,0.583333333
0.50573087,1,1801,1804,0,1803,0.411764706,0.583333333
0.4840878,1,1801,1805,0,1803,0.411764706,0.583333333
0.5900813,0,1801,1806,0,1803,0.411764706,0.583333333
0.5280223,0,1801,1824,0,1803,0.411764706,0.583333333
0.37884825,0,1802,1799,0,1803,0.411764706,0.583333333
0.5817689,1,1803,1799,0,1803,0.411764706,0.583333333
0.48849374,1,1804,1800,0,1803,0.411764706,0.583333333
0.46681592,1,1804,1801,0,1803,0.411764706,0.583333333
0.47265685,1,1804,1805,0,1803,0.411764706,0.583333333
0.5490778,1,1805,1801,0,1803,0.411764706,0.583333333
0.5611327,1,1805,1804,0,1803,0.411764706,0.583333333
0.5164461,0,1806,1801,0,1803,0.411764706,0.583333333
0.48676914,0,1824,1801,0,1803,0.411764706,0.583333333
0.5319669,1,2481,2482,0,2491,0.444444444,0.615384615
0.59098303,1,2481,2483,0,2491,0.444444444,0.615384615
0.5309813,1,2482,2481,0,2491,0.444444444,0.615384615
0.53350854,1,2482,2487,0,2491,0.444444444,0.615384615
0.41290253,1,2483,2481,0,2491,0.444444444,0.615384615
0.40716192,1,2483,2487,0,2491,0.444444444,0.615384615
0.38964525,1,2483,2488,0,2491,0.444444444,0.615384615
0.46819717,0,2483,4013,0,2491,0.444444444,0.615384615
0.51613057,1,2487,2482,0,2491,0.444444444,0.615384615
0.5730519,1,2487,2483,0,2491,0.444444444,0.615384615
0.4860524,1,2487,2488,0,2491,0.444444444,0.615384615
0.52944666,0,2487,6639,0,2491,0.444444444,0.615384615
0.5441343,1,2488,2483,0,2491,0.444444444,0.615384615
0.47372782,1,2488,2487,0,2491,0.444444444,0.615384615
0.437125,0,2488,2489,0,2491,0.444444444,0.615384615
0.5299011,0,2488,2490,0,2491,0.444444444,0.615384615
0.5089909,1,2488,2491,0,2491,0.444444444,0.615384615
0.47092924,0,2489,2488,0,2491,0.444444444,0.615384615
0.45149854,0,2490,2488,0,2491,0.444444444,0.615384615
0.45419243,0,2490,3732,0,2491,0.444444444,0.615384615
0.37815616,1,2491,2488,0,2491,0.444444444,0.615384615
0.5737582,0,3732,2490,0,2491,0.444444444,0.615384615
0.5809651,0,4013,2483,0,2491,0.444444444,0.615384615
0.39606962,0,6639,2487,0,2491,0.444444444,0.615384615
0.54921216,1,2708,2709,0,2716,0.764705882,0.866666667
0.51173615,1,2708,2710,0,2716,0.764705882,0.866666667
0.5227285,1,2709,2708,0,2716,0.764705882,0.866666667
0.51043504,1,2709,2711,0,2716,0.764705882,0.866666667
0.4252242,0,2709,2712,0,2716,0.764705882,0.866666667
0.4461966,0,2709,2713,0,2716,0.764705882,0.866666667
0.46772632,0,2709,2714,0,2716,0.764705882,0.866666667
0.42218116,0,2709,2715,0,2716,0.764705882,0.866666667
0.6289154,1,2709,2716,0,2716,0.764705882,0.866666667
0.5328527,1,2710,2708,0,2716,0.764705882,0.866666667
0.5322742,1,2710,2711,0,2716,0.764705882,0.866666667
0.5164305,1,2710,2717,0,2716,0.764705882,0.866666667
0.51784515,1,2711,2709,0,2716,0.764705882,0.866666667
0.4888686,1,2711,2710,0,2716,0.764705882,0.866666667
0.5062301,1,2711,2717,0,2716,0.764705882,0.866666667
0.4547787,0,2711,2723,0,2716,0.764705882,0.866666667
0.49100342,0,2712,2709,0,2716,0.764705882,0.866666667
0.441789,0,2712,3921,0,2716,0.764705882,0.866666667
0.52387166,0,2713,2709,0,2716,0.764705882,0.866666667
0.52119255,0,2714,2709,0,2716,0.764705882,0.866666667
0.45487735,0,2715,2709,0,2716,0.764705882,0.866666667
0.47437733,0,2715,7734,0,2716,0.764705882,0.866666667
0.5675922,1,2716,2709,0,2716,0.764705882,0.866666667
0.5156596,1,2717,2710,0,2716,0.764705882,0.866666667
0.55134505,1,2717,2711,0,2716,0.764705882,0.866666667
0.52123785,0,2723,2711,0,2716,0.764705882,0.866666667
0.42709383,0,3921,2712,0,2716,0.764705882,0.866666667
0.43145108,0,7734,2715,0,2716,0.764705882,0.866666667
0.49250284,1,3158,3159,0,3162,0.4375,0.608695652
0.39201128,1,3158,3160,0,3162,0.4375,0.608695652
0.39042625,0,3158,4403,0,3162,0.4375,0.608695652
0.4616202,1,3159,3158,0,3162,0.4375,0.608695652
0.5270702,1,3159,3161,0,3162,0.4375,0.608695652
0.47449833,1,3159,3162,0,3162,0.4375,0.608695652
0.49665117,0,3159,10575,0,3162,0.4375,0.608695652
0.4418329,1,3160,3158,0,3162,0.4375,0.608695652
0.510159,1,3160,3161,0,3162,0.4375,0.608695652
0.5423226,1,3160,3163,0,3162,0.4375,0.608695652
0.6071254,1,3161,3159,0,3162,0.4375,0.608695652
0.49891114,1,3161,3160,0,3162,0.4375,0.608695652
0.6062494,1,3161,3163,0,3162,0.4375,0.608695652
0.51772004,0,3161,3166,0,3162,0.4375,0.608695652
0.5996547,1,3162,3159,0,3162,0.4375,0.608695652
0.4216835,1,3163,3160,0,3162,0.4375,0.608695652
0.5026389,1,3163,3161,0,3162,0.4375,0.608695652
0.4928999,0,3166,3161,0,3162,0.4375,0.608695652
0.45975044,0,4403,3158,0,3162,0.4375,0.608695652
0.45280084,0,10571,10575,0,3162,0.4375,0.608695652
0.5237493,0,10575,3159,0,3162,0.4375,0.608695652
0.42524585,0,10575,10571,0,3162,0.4375,0.608695652
0.46926826,1,4194,4195,0,4197,0.294117647,0.454545455
0.4909446,1,4194,4196,0,4197,0.294117647,0.454545455
0.49508804,1,4194,4197,0,4197,0.294117647,0.454545455
0.5091959,0,4194,4198,0,4197,0.294117647,0.454545455
0.46313888,1,4195,4194,0,4197,0.294117647,0.454545455
0.49504218,1,4195,4199,0,4197,0.294117647,0.454545455
0.5052438,1,4196,4194,0,4197,0.294117647,0.454545455
0.5422473,1,4196,4199,0,4197,0.294117647,0.454545455
0.56422055,1,4196,4200,0,4197,0.294117647,0.454545455
0.4671344,1,4197,4194,0,4197,0.294117647,0.454545455
0.51185447,0,4198,4194,0,4197,0.294117647,0.454545455
0.47464064,0,4198,10288,0,4197,0.294117647,0.454545455
0.46738428,1,4199,4195,0,4197,0.294117647,0.454545455
0.48200014,1,4199,4196,0,4197,0.294117647,0.454545455
0.5505471,1,4199,4200,0,4197,0.294117647,0.454545455
0.484967,1,4200,4196,0,4197,0.294117647,0.454545455
