GNN Probability,GT,P1,P2,Run,Idx,Acc,F1
0.49967924,1,430,431,0,437,0.388888889,0.56
0.5009103,1,430,432,0,437,0.388888889,0.56
0.49849322,1,431,430,0,437,0.388888889,0.56
0.5009571,1,431,433,0,437,0.388888889,0.56
0.5011283,0,431,3988,0,437,0.388888889,0.56
0.49805933,1,432,430,0,437,0.388888889,0.56
0.4998358,1,432,433,0,437,0.388888889,0.56
0.50112796,1,432,434,0,437,0.388888889,0.56
0.49942452,0,432,435,0,437,0.388888889,0.56
0.49890804,0,432,436,0,437,0.388888889,0.56
0.49903122,0,432,2602,0,437,0.388888889,0.56
0.49893355,0,432,7781,0,437,0.388888889,0.56
0.49555555,1,433,431,0,437,0.388888889,0.56
0.4961879,1,433,432,0,437,0.388888889,0.56
0.50241685,1,433,434,0,437,0.388888889,0.56
0.49624273,1,433,437,0,437,0.388888889,0.56
0.50008476,1,434,432,0,437,0.388888889,0.56
0.5000598,1,434,433,0,437,0.388888889,0.56
0.5050552,0,434,438,0,437,0.388888889,0.56
0.49684808,0,435,432,0,437,0.388888889,0.56
0.4975929,0,436,432,0,437,0.388888889,0.56
0.5002093,1,437,433,0,437,0.388888889,0.56
0.49533904,0,438,434,0,437,0.388888889,0.56
0.49891186,0,2602,432,0,437,0.388888889,0.56
0.5051296,0,3988,431,0,437,0.388888889,0.56
0.50475335,0,7781,432,0,437,0.388888889,0.56
0.50280666,1,606,607,0,609,0.294117647,0.454545455
0.49501434,1,606,608,0,609,0.294117647,0.454545455
0.4943664,1,606,609,0,609,0.294117647,0.454545455
0.49850354,0,606,610,0,609,0.294117647,0.454545455
0.4992405,1,607,606,0,609,0.294117647,0.454545455
0.5014871,1,607,611,0,609,0.294117647,0.454545455
0.49935257,1,608,606,0,609,0.294117647,0.454545455
0.5026768,1,608,611,0,609,0.294117647,0.454545455
0.50068605,1,608,612,0,609,0.294117647,0.454545455
0.5018561,0,608,613,0,609,0.294117647,0.454545455
0.4977618,0,608,12910,0,609,0.294117647,0.454545455
0.49457994,1,609,606,0,609,0.294117647,0.454545455
